fecha,prec_mm,tmin,tmax,tmed,velmedia_ms,racha_ms,hrMedia,hrMax,hrMin,sol_h
2009-01-30,,,,,3.1,,66.0,,,
2009-01-31,,,,,2.2,,68.0,,,
2009-02-01,3.0,1.6,6.8,4.2,2.5,8.9,80.0,91.0,64.0,
2009-02-02,0.0,0.9,9.9,5.4,1.4,8.1,89.0,94.0,72.0,
2009-02-03,0.0,2.0,13.6,7.8,1.9,16.9,63.0,91.0,37.0,
2009-02-04,0.0,5.1,14.8,10.0,4.2,14.7,54.0,88.0,39.0,
2009-02-05,1.6,2.4,13.1,7.8,3.1,11.7,68.0,94.0,47.0,
2009-02-06,0.4,2.2,11.2,6.7,4.4,18.3,61.0,94.0,40.0,
2009-02-07,0.0,2.7,7.8,5.2,3.6,18.9,44.0,54.0,34.0,
2009-02-08,0.0,0.4,14.3,7.4,3.1,15.6,50.0,66.0,26.0,
2009-02-09,0.0,5.0,18.3,11.6,3.1,10.3,60.0,82.0,42.0,
2009-02-10,0.0,3.4,17.8,10.6,3.1,11.9,57.0,81.0,41.0,
2009-02-11,0.0,0.6,17.4,9.0,2.2,9.4,44.0,84.0,25.0,
2009-02-12,0.0,4.0,16.3,10.2,2.2,14.2,55.0,82.0,35.0,
2009-02-13,0.0,0.8,14.8,7.8,2.2,6.7,60.0,88.0,30.0,
2009-02-14,0.0,-0.1,18.0,9.0,,6.7,,95.0,23.0,
2009-02-15,0.0,5.4,9.6,7.5,1.1,5.6,88.0,,69.0,
2009-02-16,0.0,,,,,,,,,
2009-02-17,,,12.1,,,7.8,,,45.0,
2009-02-18,0.0,,,,3.1,,39.0,,,
2009-02-19,0.0,3.9,16.2,10.0,2.8,6.9,59.0,92.0,,
2009-02-20,,,8.3,,1.1,7.8,87.0,,81.0,
2009-02-21,0.0,0.6,14.2,7.4,2.8,11.1,66.0,96.0,36.0,
2009-02-22,0.0,,,,,,,,,
2009-02-23,0.0,3.4,18.9,11.2,3.1,9.2,53.0,83.0,30.0,
2009-02-24,0.0,1.9,15.2,8.6,2.2,6.9,71.0,94.0,46.0,
2009-02-25,0.0,4.6,11.7,8.2,1.7,6.4,76.0,95.0,65.0,
2009-02-26,0.0,3.5,14.1,8.8,1.7,6.4,71.0,93.0,51.0,
2009-02-27,0.6,1.6,15.8,8.7,2.2,7.2,58.0,88.0,,
2009-02-28,0.0,5.7,,,,6.4,,93.0,,
2009-03-01,0.0,5.6,18.6,12.1,1.9,11.4,58.0,93.0,38.0,
2009-03-02,23.4,6.3,14.1,10.2,1.7,7.5,71.0,91.0,52.0,
2009-03-03,28.1,5.5,8.0,6.8,4.2,12.2,90.0,95.0,80.0,
2009-03-04,5.9,4.2,14.9,9.6,5.3,25.3,63.0,89.0,46.0,
2009-03-05,11.5,4.4,12.1,8.2,5.3,21.4,59.0,84.0,36.0,
2009-03-06,0.0,5.9,14.1,10.0,3.6,19.2,55.0,61.0,44.0,
2009-03-07,0.0,8.2,20.8,14.5,2.5,15.3,43.0,69.0,25.0,
2009-03-08,0.0,4.2,19.3,11.8,2.8,7.5,57.0,89.0,40.0,
2009-03-09,0.0,4.3,17.9,11.1,1.7,8.1,64.0,94.0,47.0,
2009-03-10,0.0,3.0,18.3,10.6,1.1,7.2,73.0,95.0,49.0,
2009-03-11,0.0,4.8,21.8,13.3,2.5,7.8,50.0,83.0,22.0,
2009-03-12,0.0,3.7,15.7,9.7,1.7,6.7,73.0,94.0,57.0,
2009-03-13,0.0,3.3,20.9,12.1,2.2,7.8,47.0,91.0,27.0,
2009-03-14,0.0,5.4,25.2,15.3,2.2,8.9,41.0,77.0,22.0,
2009-03-15,0.0,5.6,20.8,13.2,1.9,7.2,41.0,87.0,18.0,
